title,authors,publish_year,subject,edition_count,key,id,entity_type,date_ingested,confidence_score
Vingt Mille Lieues Sous Les Mers,"Jules Verne, Serge Micheli, Francois Riviere",1870,sea,382,/works/OL1099280W,book_vingtmillelieuessous_1870,book,2025-05-20,1.0
Swimmy,"Leo Lionni, Xosé Manuel González, Ignasi Centelles",1963,sea,45,/works/OL2162545W,book_swimmy_1963,book,2025-05-20,1.0
Roverandom,"J.R.R. Tolkien, Christina Scull, Wayne G. Hammond",1998,sea,22,/works/OL27488W,book_roverandom_1998,book,2025-05-20,1.0
The Ghost Pirates,William Hope Hodgson,1909,sea,20,/works/OL810401W,book_theghostpirates_1909,book,2025-05-20,1.0
Braiding Sweetgrass,"Robin Wall Kimmerer, David Muñoz Mateos",2013,sea,16,/works/OL16819897W,book_braidingsweetgrass_2013,book,2025-05-20,1.0
The Oceans Atlas,Anita Ganeri,1982,sea,10,/works/OL103997W,book_theoceansatlas_1982,book,2025-05-20,1.0
Moon Magic,Violet M. Firth (Dion Fortune),1956,sea,10,/works/OL114609W,book_moonmagic_1956,book,2025-05-20,1.0
The Sea Priestess,Violet M. Firth (Dion Fortune),1957,sea,10,/works/OL114615W,book_theseapriestess_1957,book,2025-05-20,1.0
The Sea And The Jungle,H. M. Tomlinson,1913,sea,7,/works/OL8721069W,book_theseaandthejungle_1913,book,2025-05-20,1.0
Nightfrights,"Pete Haining, Ambrose Bierce, Ray Bradbury, Agatha Christie, Edgar Allan Poe, Robert Louis Stevenson",1972,sea,5,/works/OL3151582W,book_nightfrights_1972,book,2025-05-20,1.0
Ultramarine,Jenny Nimmo,1990,sea,5,/works/OL451856W,book_ultramarine_1990,book,2025-05-20,1.0
Thes Ailor Who Fell From Grace With The Sea,三島由紀夫,1970,sea,4,/works/OL1845262W,book_thesailorwhofellfrom_1970,book,2025-05-20,1.0
Who Will Guide My Sleigh Tonight?,Jerry Pallotta,2005,sea,4,/works/OL1955378W,book_whowillguidemysleigh_2005,book,2025-05-20,1.0
The Marine Chronometer,Rupert Thomas Gould,1923,sea,4,/works/OL4527468W,book_themarinechronometer_1923,book,2025-05-20,1.0
Beach Riddles,Jennie Spray Doering,2006,sea,4,/works/OL5839974W,book_beachriddles_2006,book,2025-05-20,1.0
Baby Beluga,Raffi Cavoukian,1990,sea,3,/works/OL580379W,book_babybeluga_1990,book,2025-05-20,1.0
The True Confessions Of Charlotte Doyle And Related Readings,"Avi, Linda Grant De Pauw, Richard Henry Dana, Jay Parini, Charlotte Pomerantz, Lorna Dee Cervantes",1998,sea,3,/works/OL465351W,book_thetrueconfessionsof_1998,book,2025-05-20,1.0
Can We Go To The Sea?,Hiroyuki Arai,2018,sea,3,/works/OL19743895W,book_canwegotothesea_2018,book,2025-05-20,1.0
Georgie And The Noisy Ghost,Robert Bright,1971,sea,3,/works/OL115663W,book_georgieandthenoisygh_1971,book,2025-05-20,1.0
1001 Questions Answered About Natural Land Disasters,Barbara Tufty,1969,sea,2,/works/OL9323391W,book_1001questionsanswere_1969,book,2025-05-20,1.0
